embed_dim,hidden_dim,num_layers,dropout,lr,batch_size,use_pos_weight,epochs,patience,early_stop_on,val_acc,val_precision,val_recall,val_f1,val_roc_auc,val_threshold,test_acc,test_precision,test_recall,test_f1,test_roc_auc
128,64,1,0.2,0.001,16,False,6,2,roc_auc,0.6056338028169014,0.5306122448979592,0.8387096774193549,0.65,0.6169354838709677,0.45000000000000007,0.6326530612244898,0.5857142857142857,0.8541666666666666,0.6949152542372882,0.6749999999999999
256,64,1,0.2,0.0003,32,False,6,2,roc_auc,0.5633802816901409,0.5,0.8709677419354839,0.6352941176470588,0.6161290322580646,0.5,0.47959183673469385,0.4805194805194805,0.7708333333333334,0.592,0.5137499999999999
256,64,1,0.5,0.001,16,False,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.6161290322580645,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.59
256,256,1,0.2,0.0005,32,False,6,2,roc_auc,0.4647887323943662,0.4492753623188406,1.0,0.62,0.6161290322580645,0.35,0.5,0.49473684210526314,0.9791666666666666,0.6573426573426573,0.6229166666666666
256,128,2,0.2,0.001,32,False,6,2,roc_auc,0.5352112676056338,0.48214285714285715,0.8709677419354839,0.6206896551724138,0.6153225806451613,0.125,0.6020408163265306,0.5555555555555556,0.9375,0.6976744186046512,0.7329166666666667
256,128,1,0.5,0.0005,32,False,6,2,roc_auc,0.5492957746478874,0.49056603773584906,0.8387096774193549,0.6190476190476191,0.6153225806451613,0.45000000000000007,0.5510204081632653,0.527027027027027,0.8125,0.639344262295082,0.625
256,128,2,0.2,0.0005,16,False,6,2,roc_auc,0.5774647887323944,0.5094339622641509,0.8709677419354839,0.6428571428571429,0.6153225806451613,0.275,0.5918367346938775,0.5526315789473685,0.875,0.6774193548387096,0.67375
128,128,1,0.2,0.0005,16,False,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.6137096774193549,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.6241666666666668
128,128,1,0.5,0.0005,32,True,6,2,roc_auc,0.5915492957746479,0.5208333333333334,0.8064516129032258,0.6329113924050633,0.6129032258064516,0.5,0.5408163265306123,0.5230769230769231,0.7083333333333334,0.6017699115044248,0.5887499999999999
256,128,1,0.2,0.001,16,True,6,2,roc_auc,0.5211267605633803,0.47540983606557374,0.9354838709677419,0.6304347826086957,0.6120967741935484,0.45000000000000007,0.47959183673469385,0.4819277108433735,0.8333333333333334,0.6106870229007634,0.535
256,256,2,0.2,0.001,32,True,6,2,roc_auc,0.5633802816901409,0.5,0.6451612903225806,0.5633802816901409,0.6120967741935484,0.1,0.6122448979591837,0.5757575757575758,0.7916666666666666,0.6666666666666666,0.6166666666666667
256,64,2,0.2,0.0005,32,False,6,2,roc_auc,0.5774647887323944,0.5106382978723404,0.7741935483870968,0.6153846153846154,0.6120967741935484,0.5,0.5204081632653061,0.5076923076923077,0.6875,0.584070796460177,0.5579166666666667
